Language	English	Japanese	Korean	简体中文	繁體中文
sLanguageWarning			기계번역을 사용하고 있기 때문에 번역이 정확하지 않을 수 있습니다.	翻译可能不准确，长按 Alt 键可显示原文。	翻譯可能不准確，因為使用了機器翻譯。
sEditorMode	Editor Mode	編集モード	편집 모드	编辑器模式	編輯器模式
sEditorModeSimple	Simple	簡易設定	간이 설정	简易设置	簡易設定
sEditorModeAdvanced	Advanced	詳細設定	상세 설정	详细设置	詳細設定
sEditorModePreset	Preset	プリセット	프리셋	预设	預設
sEditorModeShaderSetting	Shader Setting	シェーダー設定	쉐이더 설정	着色器设置	著色器設定
sHelpSelectOverlay	Currently lilToonOverray is selected. Change to lilToon for normal use.	現在lilToonOverrayが選択されています。通常の用途で使う場合はlilToonに変更してください。	현재 lilToonOverray가 선택되어있습니다.일반 용도에서는 lilToon으로 변경해주세요.	您目前选择了 lilToonOverray，如果是一般用途的话请更改为 lilToon。	目前選擇了 lilToonOverray。如果是一般用途的話請變更為 lilToon。
sColor	Color	色	색	纹理	顏色
sAlpha	Alpha	透明度	투명도	透明度	透明度
sColorAlpha	Color / Alpha	色 / 透明度	색 / 투명도	颜色 / 透明度	顏色 / 透明度
sGamma	Gamma	ガンマ	감마	伽玛	伽瑪
sHue	Hue	色相	색상	色相	色相
sSaturation	Saturation	彩度	채도	饱和度	飽和度
sValue	Value	明度	명도	亮度	亮度
sStrength	Strength	強度	강도	强度	強度
sStrengthMask	Mask & Strength	マスクと強度	마스크와 강도	蒙版 & 强度	遮罩 & 強度
sStrengthR	Strength (R)	強度 (R)	강도 (R)	强度 (R)	強度 (R)
sLength	Length	長さ	길이	长度	長度
sLengthMask	Length Mask	長さマスク	길이 마스크	长度蒙版	長度遮罩
sTexture	Texture	テクスチャ	텍스처	纹理	貼圖
sTextureRGB	Color (RGB)	色(RGB)	색 (RGB)	颜色 (RGB)	顏色 (RGB)
sTextureRGBA	Color (RGB) and Transparency (A)	色(RGB)と透明度(A)	색 (RGB) 과 투명도 (A)	颜色 (RGB) & 透明度 (A)	顏色 (RGB) & 透明度 (A)
sMask	Mask	マスク	마스크	蒙版	遮罩
sMaskType	Mask Type	マスクタイプ	마스크 타입	蒙版类型	遮罩類型
sBlendR	Blend (R)	合成度 (R)	합성 (R)	混合 (R)	混合 (R)
sBlendMode	Blending Mode	合成モード	합성 모드	混合模式	混合模式
