Language	English	Japanese	Korean	Chinese Simplified	Chinese Traditional
sLanguageWarning			기계번역을 사용하고 있기 때문에 번역이 정확하지 않을 수 있습니다.	翻译可能不准确，因为使用了机器翻译。	翻譯可能不准確，因為使用了機器翻譯。
sEditorMode	Editor Mode	編集モード	편집 모드	编辑器模式	編輯器模式
sEditorModeSimple	Simple	簡易設定	간이 설정	简单设置	簡單設置
sEditorModeAdvanced	Advanced	詳細設定	상세 설정	详细设置	詳細設置
sEditorModePreset	Preset	プリセット	프리셋	预设	預設
sHelpSimple	In this mode, you can easily edit the appearance.	簡単に見た目を編集するモードです。	간단하게 외형을 편집하는 모드입니다.	这种模式进行简单的设置。	這種模式進行簡單的設置。
sHelpAdvanced	In this mode, you can make detailed settings for the material.	詳細設定を行うモードです。	상세 설정을 실시하는 모드입니다.	此模式用于进行详细设置。	此模式用於進行詳細設置。
sHelpPreset	In this mode, you can easily set up materials from presets.	プリセットから一括で設定するモードです。	프리셋에서 일괄로 설정하는 모드입니다.	在这个模式下，你可以很容易地从预设中设置材料。	在這個模式下，你可以很容易地從預設中設置材料。
sHelpSelectOverlay	Currently lilToonOverray is selected. Change to lilToon for normal use.	現在lilToonOverrayが選択されています。通常の用途で使う場合はlilToonに変更してください。	현재 lilToonOverray가 선택되어있습니다.일반 용도에서는 lilToon으로 변경해주세요.	目前正在选择lilToonOverray。如果是通常的用途的话请变更为lilToon。	目前正在選擇lilToonOverray。如果是通常的用途的話請變更為lilToon。
sColor	Color	色	색	颜色	顏色
sGamma	Gamma	ガンマ	감마	伽玛	伽瑪
sHue	Hue	色相	색상	色相	色相
sSaturation	Saturation	彩度	채도	饱和度	飽和度
sValue	Value	明度	명도	亮度	亮度
sStrength	Strength	強度	강도	强度	強度
sStrengthMask	Mask & Strength	マスクと強度	마스크와 강도	蒙版 & 强度	蒙版 & 強度
sStrengthR	Strength (R)	強度 (R)	강도 (R)	强度 (R)	強度 (R)
sTexture	Texture	テクスチャ	텍스처	纹理	紋理
sTextureRGBA	Color (RGB) and Transparency (A)	色(RGB)と透明度(A)	색 (RGB) 과 투명도 (A)	颜色 (RGB) & 透明度 (A)	顏色 (RGB) & 透明度 (A)
sMask	Mask	マスク	마스크	蒙版	蒙版
sBlendR	Blend (R)	合成度 (R)	합성 (R)	混合 (R)	混合 (R)
sBlendMode	Blending Mode	合成モード	합성 모드	混合模式	混合模式
sBlendModeNormal	Normal	通常	표준	Normal	Normal
sBlendModeAdd	Add	加算	가산	Add	Add
sBlendModeScreen	Screen	スクリーン	스크린	Screen	Screen
sBlendModeMul	Multiply	乗算	곱하기	Multiply	Multiply
sBorder	Border	範囲	범위	边界	邊界
sBorderAO	AO & Border	AOと影範囲	AO과 그림자 범위	AO & 边界	AO & 邊界
sBorderR	Border (R)	範囲 (R)	범위 (R)	边界 (R)	邊界 (R)
sBlur	Blur	ぼかし	흐리게	模糊	模糊
sBlurR	Blur (R)	ぼかし (R)	흐리게 (R)	模糊 (R)	模糊 (R)
sAlphaR	Alpha (R)	透明度 (R)	투명도 (R)	透明度 (R)	透明度 (R)
sMainColorPower	Main Color Power	メインカラーの強度	메인 컬러의 강도	主色功率	主色功率
sEnableLighting	Enable Lighting	ライティングを適用	라이팅을 적용	启用照明	啟用照明
sUVSetting	UV Setting	UV設定	UV 설정	UV设置	UV設置
sUVAnimation	UV Animation	UVアニメーション	UV 애니메이션	UV动画	UV動畫
sOffset	Offset	Offset	Offset	Offset	Offset
sScroll	Scroll	スクロール	스크롤	滚动	滾動
sAngle	Angle	角度	각도	角度	角度
sRotate	Rotate	回転速度	회전속도	旋转	旋轉
sAsMSDF	MSDF Texture	MSDFテクスチャ	MSDF 텍스처	MSDF纹理	MSDF紋理
sAsDecal	As Decal	デカール化	데칼 화	作为Decal	作為Decal
sAnimation	Animation	アニメーション	애니메이션	动画	動畫
sXFrames	X Frames	X軸のフレーム数	X축 프레임 수	X轴帧数	X軸幀數
sYFrames	Y Frames	Y軸のフレーム数	Y축 프레임 수	Y轴帧数	Y軸幀數
sFrames	Frames	合計フレーム数	총 프레임 수	总帧数	總幀數
sFPS	FPS	FPS	FPS	FPS	FPS
sXRatio	Ratio X	X軸比率	X축 비율	X比率	X比率
sYRatio	Ratio Y	Y軸比率	Y축 비율	Y比率	Y比率
sFixBorder	Fix Border	境界を調整	경계 이동	修复边界	修復邊界
sConvertGif	Convert Gif	Gifを変換	GIF 변환	转换Gif	轉換Gif
sMirrorMode	Mirror Mode	ミラーモード	거울 모드	镜像模式	鏡像模式
sMirrorModeNormal	Normal	通常	보통	正常	正常
sMirrorModeFlip	Flip	反転	반전	翻转	翻轉
sMirrorModeLeft	Left Only	左のみ	왼쪽만	只向左	只向左
sMirrorModeRight	Right Only	右のみ	오른쪽만	只向右	只向右
sMirrorModeRightFlip	Flip Right Only	右のみ・反転	오른쪽만 · 반전	只向右翻转	只向右翻轉
sCopyMode	Copy Mode	複製モード	복제 모드	复制模式	複製模式
sCopyModeNormal	Normal	通常	보통	正常	正常
sCopyModeSymmetry	Symmetry	左右対称	대칭	对称性	對稱性
sCopyModeFlip	Flip	反転	반전	翻转	翻轉
sPosition	Position	座標	좌표	职位	職位
sPositionX	Position X	X座標	X좌표	X职位	X職位
sPositionY	Position Y	Y座標	Y좌표	Y职位	Y職位
sScale	Scale	サイズ	크기	尺度	尺度
sScaleX	Scale X	X軸サイズ	X축 크기	X尺度	X尺度
sScaleY	Scale Y	Y軸サイズ	Y축 크기	Y尺度	Y尺度
sVector	Vector	向き	방향	向量	向量
sLength	Length	長さ	길이	长度	長度
sVertex	Vertex	頂点	꼭짓점	顶点	頂點
sThreshold	Threshold	閾値	임계값	阈值	閾值
sNormalStrength	Normal Map Strength	ノーマルマップ強度	노멀 맵 강도	法线贴图强度	法線貼圖強度
sColorAlphaZeroWarn	To enable the property, increase the alpha value.	プロパティを有効にするには透明度の値を上げて下さい。	속성을 유효하게 하려면 알파 값을 올려 주십시오.	增加 Alpha 值以启用该属性。	增加 Alpha 值以啟用該屬性。
sApplyTransparency	Apply Transparency	透明度を適用	투명도 적용	应用透明度	應用透明度
sVRParallaxStrength	VR Parallax Strength	VR時の視差の強さ	VR Parallax Strength	VR Parallax Strength	VR Parallax Strength
sShadowMask	Shadow Mask	影部分で無効化	그림자 속에서 무효화	阴影蒙版	陰影蒙版
sBackfaceMask	Backface Mask	裏面で無効化	후면에서 무효화	背面蒙版	背面蒙版
sLimShadowStrength	Shadow Strength	影の強さ	그림자 강도	阴影强度	陰影強度
sLimOutline	Outline	輪郭線の色	윤곽선의 색	轮廓	輪廓
sLimEmission	Emission	発光色	발광색	发光	發光
sLimEmission2nd	Emission 2nd	発光色2nd	발광색 2nd	发光2nd	發光2nd
sBaseSetting	Base Setting	基本設定	기본 설정	基本设置	基本設置
sInvisible	Invisible	非表示	숨기기	不可见	不可見
sAsUnlit	As Unlit	Unlit化	Unlit 화	作为Unlit	作為Unlit
sShaderType	Shader Tyoe	シェーダーの種類	셰이더 유형	Shader Tyoe	Shader Tyoe
sShaderTypeNormal	Normal	Normal (通常版)	Normal	Normal	Normal
sShaderTypeLite	Lite	Lite (軽量版)	Lite	Lite	Lite
sRenderingMode	Rendering Mode	描画モード	렌더링 모드	Rendering Mode	Rendering Mode
sRenderingModeOpaque	Opaque	不透明	불투명	不透明	不透明
sRenderingModeCutout	Cutout	カットアウト	컷아웃	镂空	鏤空
sRenderingModeTransparent	Transparent	半透明	투명한	透明	透明
sRenderingModeRefraction	[high-load] Refraction	[高負荷] 屈折	[과부하] 굴절	[高负荷] 折射	[高負荷] 折射
sRenderingModeRefractionBlur	[high-load] Refraction Blur	[高負荷] 屈折ぼかし	[과부하] 굴절 흐리게	[高负荷] 折射模糊	[高負荷] 折射模糊
sRenderingModeFur	[high-load] Fur	[高負荷] ファー	[과부하] 퍼	[高负荷] 毛皮	[高負荷] 毛皮
sRenderingModeFurCutout	[high-load] Fur (Cutout)	[高負荷] ファー (カットアウト)	[과부하] 퍼 (컷아웃)	[高负荷] 毛皮(镂空)	[高負荷] 毛皮(鏤空)
sRenderingModeGem	[high-load] Gem	[高負荷] 宝石	[과부하] 보석	[高负荷] 宝石	[高負荷] 寶石
sTransparentMode	Transparent Mode	透過モード	투명 모드	Transparent Mode	Transparent Mode
sTransparentModeNormal	Normal	通常	Normal	Normal	Normal
sTransparentModeOnePass	One Pass	1パス	One Pass	One Pass	One Pass
sTransparentModeTwoPass	Two Pass	2パス	Two Pass	Two Pass	Two Pass
sAsOverlay	As Overlay	Overlayマテリアル	As Overlay	As Overlay	As Overlay
sCutoff	Cutoff	Cutoff (完全透明にする範囲)	Cutoff	Cutoff	Cutoff
